id,created_at,favorite_count,retweet_count,Reply_Count,Quote Count,text,entities,screen_name,Source,Place,User ID,Lang,MediaURL
1200551862052773889,2019-11-29 23:07:23+00:00,1,0,0,0,#PurpleReign https://t.co/OU5FemgWLa,"{'hashtags': [{'text': 'PurpleReign', 'indices': [0, 12]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551841139965952, 'id_str': '1200551841139965952', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EKk3iemWwAAv42F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk3iemWwAAv42F.jpg', 'url': 'https://t.co/OU5FemgWLa', 'display_url': 'pic.twitter.com/OU5FemgWLa', 'expanded_url': 'https://twitter.com/tophe1000/status/1200551862052773889/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",tophe1000,Twitter for Android,,17058685,qme,http://pbs.twimg.com/media/EKk3iemWwAAv42F.jpg
1200551855035580416,2019-11-29 23:07:22+00:00,0,0,0,0,#PurpleReign https://t.co/gBBxMEDzFb,"{'hashtags': [{'text': 'PurpleReign', 'indices': [0, 12]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551830830252032, 'id_str': '1200551830830252032', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EKk3h4MVAAA_M3X.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk3h4MVAAA_M3X.jpg', 'url': 'https://t.co/gBBxMEDzFb', 'display_url': 'pic.twitter.com/gBBxMEDzFb', 'expanded_url': 'https://twitter.com/CatherineLa5/status/1200551855035580416/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",CatherineLa5,Twitter for iPhone,"Place(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, id='0fc343f5cb15b000', url='https://api.twitter.com/1.1/geo/id/0fc343f5cb15b000.json', place_type='poi', name='Alaska Airlines Field at Husky Stadium', full_name='Alaska Airlines Field at Husky Stadium', country_code='US', country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, type='Polygon', coordinates=[[[-122.30292, 47.650431], [-122.30292, 47.650431], [-122.30292, 47.650431], [-122.30292, 47.650431]]]), attributes={})",1068760317881012225,qme,http://pbs.twimg.com/media/EKk3h4MVAAA_M3X.jpg
1200551841555050496,2019-11-29 23:07:18+00:00,0,0,0,1,#purplereign https://t.co/fAOS9kRKJz,"{'hashtags': [{'text': 'purplereign', 'indices': [0, 12]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551836450607104, 'id_str': '1200551836450607104', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EKk3iNIU0AA_3oY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk3iNIU0AA_3oY.jpg', 'url': 'https://t.co/fAOS9kRKJz', 'display_url': 'pic.twitter.com/fAOS9kRKJz', 'expanded_url': 'https://twitter.com/KevinLa_MS/status/1200551841555050496/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 331, 'h': 680, 'resize': 'fit'}}}]}",KevinLa_MS,Twitter for Android,,170280559,qme,http://pbs.twimg.com/media/EKk3iNIU0AA_3oY.jpg
1200551700626460672,2019-11-29 23:06:45+00:00,3,0,0,0,Newton scores another for the #huskies and UW leads 28-10 in the #AppleCup @komonews https://t.co/mBmDI0yzYi,"{'hashtags': [{'text': 'huskies', 'indices': [30, 38]}, {'text': 'AppleCup', 'indices': [65, 74]}], 'urls': [], 'user_mentions': [{'screen_name': 'komonews', 'name': 'KOMO News', 'id': 16086928, 'id_str': '16086928', 'indices': [75, 84]}], 'symbols': [], 'media': [{'id': 1200551665377533952, 'id_str': '1200551665377533952', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EKk3YP1U4AAl0Qi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk3YP1U4AAl0Qi.jpg', 'url': 'https://t.co/mBmDI0yzYi', 'display_url': 'pic.twitter.com/mBmDI0yzYi', 'expanded_url': 'https://twitter.com/MikeKOMOsports/status/1200551700626460672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",FerreriSports,Twitter for iPhone,,114672186,en,http://pbs.twimg.com/media/EKk3YP1U4AAl0Qi.jpg
1200551651976704000,2019-11-29 23:06:33+00:00,18,0,0,0,Go Dawgs! 🐺 #PurpleReign https://t.co/5UbqZMbMEa,"{'hashtags': [{'text': 'PurpleReign', 'indices': [12, 24]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200549618276130816, 'id_str': '1200549618276130816', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EKk1hFyUYAAD0Ep.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk1hFyUYAAD0Ep.jpg', 'url': 'https://t.co/5UbqZMbMEa', 'display_url': 'pic.twitter.com/5UbqZMbMEa', 'expanded_url': 'https://twitter.com/Joshua_Rollins/status/1200551651976704000/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 511, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 901, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1538, 'resize': 'fit'}}}]}",Rollins_JT,Twitter for iPhone,,30409696,en,http://pbs.twimg.com/media/EKk1hFyUYAAD0Ep.jpg
1200551623480750081,2019-11-29 23:06:26+00:00,0,0,0,0,Touchdown Washington! #AppleCup https://t.co/KEQ9YQjSCY,"{'hashtags': [{'text': 'AppleCup', 'indices': [22, 31]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551617189289990, 'id_str': '1200551617189289990', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EKk3VcUWoAYEOnH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EKk3VcUWoAYEOnH.jpg', 'url': 'https://t.co/KEQ9YQjSCY', 'display_url': 'pic.twitter.com/KEQ9YQjSCY', 'expanded_url': 'https://twitter.com/michaelburgett/status/1200551623480750081/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 426, 'h': 240, 'resize': 'fit'}, 'medium': {'w': 426, 'h': 240, 'resize': 'fit'}, 'small': {'w': 426, 'h': 240, 'resize': 'fit'}}}]}",michaelburgett,Twitter for iPad,,18638403,en,http://pbs.twimg.com/tweet_video_thumb/EKk3VcUWoAYEOnH.jpg
1200551316507901952,2019-11-29 23:05:13+00:00,6,1,0,0,Touchdown Huskies!! #Woof #PurpleReign #AppleCup https://t.co/Mu217UGAcN,"{'hashtags': [{'text': 'Woof', 'indices': [20, 25]}, {'text': 'PurpleReign', 'indices': [26, 38]}, {'text': 'AppleCup', 'indices': [39, 48]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551279195385856, 'id_str': '1200551279195385856', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EKk3BxMU8AAa85d.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk3BxMU8AAa85d.jpg', 'url': 'https://t.co/Mu217UGAcN', 'display_url': 'pic.twitter.com/Mu217UGAcN', 'expanded_url': 'https://twitter.com/DavePdxdawg/status/1200551316507901952/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",DavePdxdawg,Twitter for Android,,470163043,en,http://pbs.twimg.com/media/EKk3BxMU8AAa85d.jpg
1200551124454887424,2019-11-29 23:04:27+00:00,0,0,0,0,"#TurnoverSalmon
#BDTW 
#PurpleReign https://t.co/HDFvSBL6TM","{'hashtags': [{'text': 'TurnoverSalmon', 'indices': [0, 15]}, {'text': 'BDTW', 'indices': [16, 21]}, {'text': 'PurpleReign', 'indices': [23, 35]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200551118503174145, 'id_str': '1200551118503174145', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EKk24akUYAEHJs5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKk24akUYAEHJs5.jpg', 'url': 'https://t.co/HDFvSBL6TM', 'display_url': 'pic.twitter.com/HDFvSBL6TM', 'expanded_url': 'https://twitter.com/Rantor80/status/1200551124454887424/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1115, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 632, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1903, 'h': 2048, 'resize': 'fit'}}}]}",Rantor80,Twitter for iPhone,,14966105,qme,http://pbs.twimg.com/media/EKk24akUYAEHJs5.jpg
1200550791930466305,2019-11-29 23:03:08+00:00,0,0,0,0,God I love the #AppleCup 💜💛 My sister doesn’t handle losing well! #AppleCup2019 #HouseDivided #GoDawgs https://t.co/r1FaXvqZ1b,"{'hashtags': [{'text': 'AppleCup', 'indices': [15, 24]}, {'text': 'AppleCup2019', 'indices': [66, 79]}, {'text': 'HouseDivided', 'indices': [80, 93]}, {'text': 'GoDawgs', 'indices': [94, 102]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200550783860654081, 'id_str': '1200550783860654081', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EKk2k77UwAEHx9I.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EKk2k77UwAEHx9I.jpg', 'url': 'https://t.co/r1FaXvqZ1b', 'display_url': 'pic.twitter.com/r1FaXvqZ1b', 'expanded_url': 'https://twitter.com/1D5sosCrazy/status/1200550791930466305/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 346, 'h': 300, 'resize': 'fit'}, 'small': {'w': 346, 'h': 300, 'resize': 'fit'}, 'large': {'w': 346, 'h': 300, 'resize': 'fit'}}}]}",1D5sosCrazy,Twitter for iPhone,,3284687677,en,http://pbs.twimg.com/tweet_video_thumb/EKk2k77UwAEHx9I.jpg
1200550626695901184,2019-11-29 23:02:29+00:00,5,1,1,0,"HALF: Washington leads Washington State 21-10 at Husky Stadium in the 112th #AppleCup.

#UWvsWSU

@thedaily… https://t.co/cZRpus6Xh5","{'hashtags': [{'text': 'AppleCup', 'indices': [76, 85]}, {'text': 'UWvsWSU', 'indices': [88, 96]}], 'urls': [{'url': 'https://t.co/cZRpus6Xh5', 'expanded_url': 'https://twitter.com/i/web/status/1200550626695901184', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}], 'user_mentions': [{'screen_name': 'thedaily', 'name': 'The Daily of the University of Washington', 'id': 12762342, 'id_str': '12762342', 'indices': [98, 107]}], 'symbols': []}",conor_courtney,Twitter Web App,,1055291453532864512,en,NA
